account_a,account_b,combined_weight,signals
A000011,A002274,8.4,device:8.4
A000047,A004729,16.47,device:8.4|addr:8.07
A000047,A006216,16.47,device:8.4|addr:8.07
A000052,A014120,25.24,email_alias:13.8|name:11.44
A000057,A014479,13.8,email_alias:13.8
A000065,A005076,13.8,email_alias:13.8
A000072,A003158,13.8,email_alias:13.8
A000097,A002657,13.8,email_alias:13.8
A000126,A002223,25.24,email_alias:13.8|name:11.44
A000141,A007705,19.52,email_alias:13.8|name:5.72
A000150,A008782,13.8,email_alias:13.8
A000150,A009241,13.8,email_alias:13.8
A000150,A011957,13.8,email_alias:13.8
A000161,A004210,13.8,email_alias:13.8
A000161,A009046,13.8,email_alias:13.8
A000166,A004048,13.8,email_alias:13.8
A000183,A010695,16.47,device:8.4|addr:8.07
A000214,A013671,25.24,email_alias:13.8|name:11.44
A000228,A008477,16.47,device:8.4|addr:8.07
A000262,A009242,13.8,email_alias:13.8
A000294,A009073,13.8,email_alias:13.8
A000317,A004634,13.8,email_alias:13.8
A000317,A008662,13.8,email_alias:13.8
A000317,A012937,13.8,email_alias:13.8
A000317,A014115,13.8,email_alias:13.8
A000329,A001089,8.4,device:8.4
A000329,A008713,13.8,email_alias:13.8
A000335,A006506,13.8,email_alias:13.8
A000359,A003215,25.24,email_alias:13.8|name:11.44
A000360,A003495,25.24,email_alias:13.8|name:11.44
A000366,A006292,13.8,email_alias:13.8
A000366,A006328,13.8,email_alias:13.8
A000366,A013858,13.8,email_alias:13.8
A000375,A005508,16.47,device:8.4|addr:8.07
A000375,A012590,16.47,device:8.4|addr:8.07
A000396,A005864,13.8,email_alias:13.8
A000396,A006925,13.8,email_alias:13.8
A000396,A008514,13.8,email_alias:13.8
A000400,A006697,10.18,card:1.78|device:8.4
A000400,A013373,10.18,card:1.78|device:8.4
A000418,A007288,16.47,device:8.4|addr:8.07
A000418,A014988,8.4,device:8.4
A000421,A005745,8.4,device:8.4
A000424,A013570,8.4,device:8.4
A000487,A002380,13.8,email_alias:13.8
A000499,A014757,25.24,email_alias:13.8|name:11.44
A000517,A007044,13.8,email_alias:13.8
A000622,A001398,13.8,email_alias:13.8
A000626,A007264,13.8,email_alias:13.8
A000626,A014027,13.8,email_alias:13.8
A000639,A006059,13.8,email_alias:13.8
